Prizes|Odds, 1 in|Total # of Winners|Prizes Claimed|Prizes Available
$75,000|1204150|16|8|8
$5,000|116,766|165|105|60
$500|3,436|5,608|3,643|1,965
$250|2,106|9,149|5,953|3,196
$100|399|48,248|31,513|16,735
$50|218|88,222|57,024|31,198
$30|185|104,300|67,438|36,862
$20|40|481,579|311,270|170,309
$15|17|1,156,054|743,991|412,063
$10|17|1,156,041|732,975|423,066
Ticket|10|1,926,640|1,154,924|771,716
